rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
167,12024,CVS Health,XX-XY,,,CVS Health,CVS,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$99,950,000,000",$79.43,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
168,12024,Sinopec,XX-XY,,,Sinopec,600028.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$97,740,000,000",$0.86,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
169,12024,Mitsubishi Corporation,XX-XY,,,Mitsubishi Corporation,8058.T,,,,,,,,,,,,,Japan,company.public,USD-marketcap,"$96,650,000,000",$23.38,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
170,12024,Petrobras,XX-XY,,,Petrobras,PBR,,,,,,,,,,,,,Brazil,company.public,USD-marketcap,"$96,480,000,000",$14.93,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
171,12024,Analog Devices,XX-XY,,,Analog Devices,ADI,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$95,870,000,000",$193.33,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
172,12024,Fast Retailing,XX-XY,,,Fast Retailing,9983.T,,,,,,,,,,,,,Japan,company.public,USD-marketcap,"$95,100,000,000",$310.09,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
174,12024,Blackstone Group,XX-XY,,,Blackstone Group,BX,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$94,500,000,000",$130.89,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
175,12024,Mondelez,XX-XY,,,Mondelez,MDLZ,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$94,380,000,000",$70.10,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
176,12024,KLA,XX-XY,,,KLA,KLAC,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$94,240,000,000",$696.87,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
177,12024,Fiserv,XX-XY,,,Fiserv,FI,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$94,060,000,000",$159.33,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
178,12024,Safran,XX-XY,,,Safran,SAF.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$93,590,000,000",$226.77,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
180,12024,SK Hynix,XX-XY,,,SK Hynix,000660.KS,,,,,,,,,,,,,South Korea,company.public,USD-marketcap,"$92,440,000,000",$134.24,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
181,12024,Porsche,XX-XY,,,Porsche,P911.DE,,,,,,,,,,,,,Germany,company.public,USD-marketcap,"$92,330,000,000",$101.36,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
182,12024,American Tower,XX-XY,,,American Tower,AMT,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$92,040,000,000",$197.38,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
183,12024,Ping An Insurance,XX-XY,,,Ping An Insurance,601318.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$91,700,000,000",$5.63,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
184,12024,ICICI Bank,XX-XY,,,ICICI Bank,IBN,,,,,,,,,,,,,India,company.public,USD-marketcap,"$91,460,000,000",$25.97,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
185,12024,Palo Alto Networks,XX-XY,,,Palo Alto Networks,PANW,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$91,190,000,000",$282.26,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
186,12024,Gilead Sciences,XX-XY,,,Gilead Sciences,GILD,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$90,950,000,000",$73.01,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
187,12024,CSL,XX-XY,,,CSL,CSL.AX,,,,,,,,,,,,,Australia,company.public,USD-marketcap,"$90,430,000,000",$187.13,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
188,12024,Arista Networks,XX-XY,,,Arista Networks,ANET,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$90,160,000,000",$288.41,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
189,12024,Al Rajhi Bank,XX-XY,,,Al Rajhi Bank,1120.SR,,,,,,,,,,,,,Saudi Arabia,company.public,USD-marketcap,"$89,950,000,000",$22.49,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
190,12024,Shin-Etsu Chemical,XX-XY,,,Shin-Etsu Chemical,4063.T,,,,,,,,,,,,,Japan,company.public,USD-marketcap,"$89,900,000,000",$45.06,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
191,12024,Stellantis,XX-XY,,,Stellantis,STLA,,,,,,,,,,,,,Netherlands,company.public,USD-marketcap,"$89,670,000,000",$28.99,,12024.03,,,B.lion,,,,12026,phantasim,,,,,,,,,,
192,12024,China Life Insurance,XX-XY,,,China Life Insurance,601628.SS,,,,,,,,,,,,,China,company.public,USD-marketcap,"$89,580,000,000",$3.89,,,,,B.lion,,,,12026,phantasim,,,,,,,,,,
