rank-number,rank-year,index-name_en-US,rank-value,patron-source,patron-industry,lastseen-country
3328,12024,Pankaj Patel,"$4,800,000,000",Pharmaceuticals,Healthcare,India
3329,12024,Horst Julius Pudwill,"$4,800,000,000",Manufacturing,Manufacturing,Germany
3330,12024,Yu Yong,"$4,800,000,000",Mining,Finance & Investments,China
3364,12024,Maria Fernanda Amorim,"$4,700,000,000","Energy, investments",Diversified,Portugal
3365,12024,Gayle Benson,"$4,700,000,000",New Orleans Saints,Sports,United States
3366,12024,Jason Chang,"$4,700,000,000",Electronics,Technology,Singapore
3367,12024,Ali Erdemoglu,"$4,700,000,000",Carpet,Manufacturing,Turkey
3368,12024,Andre Esteves,"$4,700,000,000",Banking,Finance & Investments,Brazil
3369,12024,Carlo Fidani,"$4,700,000,000",Real estate,Real Estate,Canada
3370,12024,Hong Ra-hee,"$4,700,000,000",Samsung,Technology,South Korea
3371,12024,Li Gaiteng,"$4,700,000,000",Hair dryers,Manufacturing,China
3372,12024,Thomas Secunda,"$4,700,000,000",Bloomberg LP,Media & Entertainment,United States
3373,12024,Song Zuowen,"$4,700,000,000","Aluminum, diversified",Diversified,China
3374,12024,Tim Sweeney,"$4,700,000,000",Video games,Media & Entertainment,United States
3407,12024,Bert Beveridge,"$4,600,000,000",Vodka,Food & Beverage,United States
3408,12024,Mark Cuban,"$4,600,000,000","Online media, Dallas Mavericks",Media & Entertainment,United States
3409,12024,Charles Dolan,"$4,600,000,000",Cable television,Media & Entertainment,United States
3410,12024,Jack Dorsey,"$4,600,000,000","Twitter, Square",Technology,United States
3411,12024,Fan Hongwei,"$4,600,000,000",Petrochemicals,Energy,China
3412,12024,Vladimir Kim,"$4,600,000,000",Mining,Metals & Mining,Kazakhstan
3413,12024,"Andre Koo, Sr.","$4,600,000,000",Financial services,Finance & Investments,Taiwan
3414,12024,Ronald Lauder,"$4,600,000,000",Estee Lauder,Fashion & Retail,United States
3415,12024,Li Chunan,"$4,600,000,000",Solar wafers and modules,Manufacturing,China
3416,12024,Forrest Li,"$4,600,000,000",Gaming,Media & Entertainment,Singapore
3417,12024,Richard Li,"$4,600,000,000",Telecom,Telecom,Hong Kong
3418,12024,Doug Meijer,"$4,600,000,000",Supermarkets,Fashion & Retail,United States
3419,12024,Hank Meijer,"$4,600,000,000",Supermarkets,Fashion & Retail,United States
3420,12024,Mark Meijer,"$4,600,000,000",Supermarkets,Fashion & Retail,United States
3421,12024,Issad Rebrab,"$4,600,000,000",Food,Food & Beverage,Algeria
3422,12024,Fred Smith,"$4,600,000,000",FedEx,Logistics,United States
3423,12024,Barry Sternlicht,"$4,600,000,000",Private equity,Finance & Investments,United States
3424,12024,Maximilian Viessmann,"$4,600,000,000","Heating, cooling equipment",Manufacturing,Germany
3425,12024,Russ Weiner,"$4,600,000,000",Energy drinks,Food & Beverage,United States
3426,12024,Xue Min,"$4,600,000,000",Healthcare,Healthcare,China
3464,12024,Juan Domingo Beckmann Legorreta,"$4,500,000,000",Tequila,Food & Beverage,Mexico
3465,12024,Dietmar Hopp,"$4,500,000,000",Software,Technology,Germany
3466,12024,Jiang Bin,"$4,500,000,000",Acoustic components,Technology,China
3467,12024,Joseph Liemandt,"$4,500,000,000",Software,Technology,United States
3468,12024,Theo Mueller,"$4,500,000,000",Dairy,Food & Beverage,Germany
3469,12024,N.R. Narayana Murthy,"$4,500,000,000",Software services,Technology,India
3470,12024,Odd Reitan,"$4,500,000,000","Retail, real estate",Fashion & Retail,Norway
3471,12024,Marc Rowan,"$4,500,000,000",Private equity,Finance & Investments,United States
3472,12024,Hussain Sajwani,"$4,500,000,000",Real estate,Real Estate,United Arab Emirates
3473,12024,David Velez,"$4,500,000,000",Fintech,Finance & Investments,Colombia
3474,12024,Xu Jinfu,"$4,500,000,000",Chemicals,Manufacturing,China
3475,12024,Samuel Yin,"$4,500,000,000",Retail,Diversified,Taiwan
3476,12024,You Xiaoping,"$4,500,000,000",Polyurethanes,Manufacturing,China
3509,12024,Stéphane Bancel,"$4,400,000,000","Biotech, vaccines",Healthcare,France
3510,12024,Margot Birmingham Perot,"$4,400,000,000","Computer services, real estate",Technology,United States
3511,12024,Neal Blue,"$4,400,000,000",Defense,Manufacturing,United States
3513,12024,Rafael Del Pino,"$4,400,000,000",Construction,Construction & Engineering,Spain
3514,12024,Peter Grogg,"$4,400,000,000",Biochemicals,Healthcare,Switzerland
3515,12024,Christian Haub,"$4,400,000,000",Retail,Fashion & Retail,Germany
3516,12024,Mangal Prabhat Lodha,"$4,400,000,000",Real estate,Real Estate,India
3517,12024,Jeffrey Lurie,"$4,400,000,000",Philadelphia Eagles,Sports,United States
3518,12024,Joe Mansueto,"$4,400,000,000",Investment research,Finance & Investments,United States
3519,12024,Qian Dongqi,"$4,400,000,000",Home-cleaning robots,Manufacturing,China
3520,12024,Mikhail Shelkov,"$4,400,000,000",Titanium,Metals & Mining,Russia
3558,12024,Patrick Drahi,"$4,300,000,000",Telecom,Telecom,France
3559,12024,Behdad Eghbali,"$4,300,000,000",Private equity,Finance & Investments,United States
3560,12024,Juan Carlos Escotet,"$4,300,000,000",Banking,Finance & Investments,Venezuela
3561,12024,Jose E. Feliciano,"$4,300,000,000",Private equity,Finance & Investments,United States
3562,12024,Hu Kaijun,"$4,300,000,000",Pharmaceuticals,Healthcare,China
3563,12024,Johnelle Hunt,"$4,300,000,000",Trucking,Logistics,United States
3564,12024,Marian Ilitch,"$4,300,000,000",Little Caesars Pizza,Food & Beverage,United States
3565,12024,Daryl Katz,"$4,300,000,000",Pharmacies,Diversified,Canada
3566,12024,Andrei Kozitsyn,"$4,300,000,000",Metals,Metals & Mining,Russia
3567,12024,Timur Kulibaev,"$4,300,000,000",Banking,Finance & Investments,Kazakhstan
3568,12024,Dinara Kulibaeva,"$4,300,000,000",Banking,Finance & Investments,Kazakhstan
3569,12024,Ian Livingstone,"$4,300,000,000",Real estate,Real Estate,United Kingdom
3570,12024,Richard Livingstone,"$4,300,000,000",Real estate,Real Estate,United Kingdom
3571,12024,Gwendolyn Sontheim Meyer,"$4,300,000,000",Cargill,Food & Beverage,United States
3572,12024,Jay Paul,"$4,300,000,000",Real estate,Real Estate,United States
3573,12024,Pham Nhat Vuong,"$4,300,000,000",Diversified,Diversified,Vietnam
3574,12024,Jon Stryker,"$4,300,000,000",Medical equipment,Healthcare,United States
3575,12024,Daniel Tsai,"$4,300,000,000",Finance,Finance & Investments,Taiwan
3576,12024,Richard Tsai,"$4,300,000,000",Finance,Finance & Investments,Taiwan
3577,12024,Frank Wang,"$4,300,000,000",Drones,Technology,China
3578,12024,Wang Junshi,"$4,300,000,000",Solar inverters,Manufacturing,China
3579,12024,Wang Wenjing,"$4,300,000,000",Business software,Technology,China
3580,12024,Herbert Wertheim,"$4,300,000,000",Investments,Finance & Investments,United States
3610,12024,Shari Arison,"$4,200,000,000",Carnival Cruises,Service,Israel
3611,12024,Pyotr Aven,"$4,200,000,000","Oil, banking, telecom",Finance & Investments,Russia
3612,12024,Chan Laiwa,"$4,200,000,000",Real estate,Real Estate,China
3613,12024,Chen Hua,"$4,200,000,000",Real estate,Real Estate,China
3614,12024,Thomas Hagen,"$4,200,000,000",Insurance,Finance & Investments,United States
3615,12024,"Rupert Johnson, Jr.","$4,200,000,000",Franklin Templeton,Finance & Investments,United States
3616,12024,Dewi Kam,"$4,200,000,000",Coal,Energy,Indonesia
3617,12024,Min Kao,"$4,200,000,000",Navigation equipment,Technology,United States
3618,12024,Marc Ladreit de Lacharriere,"$4,200,000,000",Finance,Finance & Investments,France
3619,12024,Eric Lefkofsky,"$4,200,000,000","Groupon, investments",Technology,United States
3620,12024,Lin Bin,"$4,200,000,000",Smartphones,Technology,United States
3621,12024,Lin Li,"$4,200,000,000",Investments,Finance & Investments,China
3622,12024,Michael Moritz,"$4,200,000,000",Venture capital,Technology,United States
3623,12024,Jean (Gigi) Pritzker,"$4,200,000,000","Hotels, investments",Service,United States
3624,12024,E. Joe Shoen,"$4,200,000,000",U-Haul,Automotive,United States
3625,12024,Jeff Skoll,"$4,200,000,000",EBay,Technology,United States
3626,12024,Lynsi Snyder,"$4,200,000,000",In-N-Out Burger,Food & Beverage,United States
3627,12024,Djoko Susanto,"$4,200,000,000",Supermarkets,Fashion & Retail,Indonesia
3628,12024,Tahir,"$4,200,000,000",Diversified,Diversified,Indonesia
