rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
173,12024,Michael Bloomberg,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$94,500,000,000",,,12024.03,11943,,B.lion,,,,83,advisor,,,,,,,Bloomberg LP,Media & Entertainment,,
179,12024,Carlos Slim Helu,XY,,,,,,,,,,,,,,,,,Mexico,person.public,USD-networth,"$93,000,000,000",,,12024.03,11941,,B.lion,,,,85,advisor,,,,,,,Telecom,Telecom,,
209,12024,Mukesh Ambani,,,,,,,,,,,,,,,,,,India,person.public,USD-networth,"$83,400,000,000",,,12024.03,11959,,B.lion,,,,67,teacher,,,,,,,Diversified,Diversified,,
216,12024,Steve Ballmer,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$80,700,000,000",,,12024.03,11957,,B.lion,,,,69,teacher,,,,,,,Microsoft,Technology,,
219,12024,Francoise Bettencourt Meyers,,,,,,,,,,,,,,,,,,France,person.public,USD-networth,"$80,500,000,000",,,12024.03,11955,,B.lion,,,,71,teacher,,,,,,,L'Oréal,Fashion & Retail,,
226,12024,Larry Page,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$79,200,000,000",,,12024.03,11974,,B.lion,,,,52,teacher,,,,,,,Google,Technology,,
239,12024,Amancio Ortega,,,,,,,,,,,,,,,,,,Spain,person.public,USD-networth,"$77,300,000,000",,,12024.03,11937,,B.lion,,,,89,advisor,,,,,,,Zara,Fashion & Retail,,
247,12024,Sergey Brin,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$76,000,000,000",,,12024.03,11975,,B.lion,,,,51,teacher,,,,,,,Google,Technology,,
286,12024,Zhong Shanshan,,,,,,,,,,,,,,,,,,China,person.public,USD-networth,"$68,000,000,000",,,12024.03,11956,,B.lion,,,,70,teacher,,,,,,,"Beverages, pharmaceuticals",Food & Beverage,,
309,12024,Mark Zuckerberg,XY,,,,,,,,,,,,,,,,,United States,person.public,USD-networth,"$64,400,000,000",,,12024.03,11986,,B.lion,,,,40,householder,,,,,,,Facebook,Technology,,
