rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
1,12024,Microsoft,XX-XY,,,Microsoft,MSFT,,Redmond,United States,,,,,,,,,,United States,company.public,USD-marketcap,"$3,126,000,000,000",$421.82,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
2,12024,Apple,XX-XY,,,Apple,AAPL,,,United States,,,,,,,,,,United States,company.public,USD-marketcap,"$2,647,000,000,000",$173.52,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
3,12024,NVIDIA,XX-XY,,,NVIDIA,NVDA,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$2,258,000,000,000",$903.22,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
4,12024,Saudi Aramco,XX-XY,,,Saudi Aramco,2222.SR,,,,,,,,,,,,,Saudi Arabia,company.public,USD-marketcap,"$1,984,000,000,000",$8.22,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
5,12024,Alphabet (Google),XX-XY,,,Alphabet (Google),GOOG,,Silicon Valley,United States,,,,,,,,,,United States,company.public,USD-marketcap,"$1,885,000,000,000",$151.74,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
6,12024,Amazon,XX-XY,,,Amazon,AMZN,,Seattle,United States,,,,,,,,,,United States,company.public,USD-marketcap,"$1,873,000,000,000",$179.76,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
7,12024,Meta Platforms (Facebook),XX-XY,,,Meta Platforms (Facebook),META,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$1,237,000,000,000",$493.90,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
8,12024,Berkshire Hathaway,XX-XY,,,Berkshire Hathaway,BRK-B,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$900,840,000,000",$416.40,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
9,12024,Eli Lilly,XX-XY,,,Eli Lilly,LLY,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$739,650,000,000",$777.96,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
10,12024,TSMC,XX-XY,,,TSMC,TSM,,,,,,,,,,,,,Taiwan,company.public,USD-marketcap,"$709,470,000,000",$136.78,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
11,12024,Broadcom,XX-XY,,,Broadcom,AVGO,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$609,250,000,000","$1,315.00",,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
12,12024,JPMorgan Chase,XX-XY,,,JPMorgan Chase,JPM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$574,660,000,000",$199.51,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
13,12024,Visa,XX-XY,,,Visa,V,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$573,760,000,000",$279.33,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
14,12024,Tesla,XX-XY,,,Tesla,TSLA,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$573,450,000,000",$180.06,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
15,12024,Novo Nordisk,XX-XY,,,Novo Nordisk,NVO,,,,,,,,,,,,,Denmark,company.public,USD-marketcap,"$571,890,000,000",$128.17,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
16,12024,Walmart,XX-XY,,,Walmart,WMT,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$488,230,000,000",$60.59,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
17,12024,Exxon Mobil,XX-XY,,,Exxon Mobil,XOM,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$455,580,000,000",$114.82,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
18,12024,UnitedHealth,XX-XY,,,UnitedHealth,UNH,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$453,560,000,000",$491.97,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
19,12024,LVMH,XX-XY,,,LVMH,MC.PA,,,,,,,,,,,,,France,company.public,USD-marketcap,"$451,000,000,000",$898.79,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
20,12024,Mastercard,XX-XY,,,Mastercard,MA,,,,,,,,,,,,,United States,company.public,USD-marketcap,"$445,810,000,000",$477.89,,12024.03,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
21,12024,Samsung,XX-XY,,,Samsung,005930.KS,,,,,,,,,,,,,South Korea,company.public,USD-marketcap,"$393,310,000,000",$59.09,,,,,CB.lion,,,,12026,phantasim,,,,,,,,,,
