rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
1,12026,Elon Musk,XY,Errol Musk,Maye Musk,Elon Reeve Musk,,"Justine Wilson (XX)
Talulah Riley (XX)
Amber Heard (XX)
Grimes (XX)
Shivon Zilis (XX)",Pretoria,South Africa,SouthAfrican-English.PostIndependence,founded Tesla / SpaceX / X; acquired Twitter,,,"Queen's University (transferred)
University of Pennsylvania (BS Physics & Economics)",,,,Austin,United States,person.public,USD-networth,"$790,000,000,000",,12,12026.05,11971,12020,CB.lion,,12026,,54,teacher,,,,,,,"Tesla, SpaceX, X",Technology / Automotive,IRL Lex Luthor,
2,12026,Larry Page,XY,Carl Victor Page Sr.,Gloria Page,Lawrence Edward Page,Larry,Lucinda Southworth (XX),East Lansing,United States,American-English.GenX,co-founded Google; stepped back from Alphabet operations,American-English.GenX,"University of Michigan (BS Computer Engineering)
Stanford University (MS Computer Science)",American-English.GenX,,,,Palo Alto,United States,person.public,USD-networth,"$314,000,000,000",,2,12026.05,11973,12021,CB.lion,,12026,,53,advisor,,,,,,,Alphabet,Technology,co-founded Google (Alphabet),
3,12026,Sergey Brin,XY,Mikhail Brin,Eugenia Brin,Sergey Mikhailovich Brin,,"Anne Wojcicki (XX)
Nicole Shanahan (XX)",Moscow,Soviet Union,Soviet-Russian.LateColdWar,co-founded Google; returned to active AI research at Google DeepMind,Soviet-Russian.LateColdWar,"University of Maryland (BS Mathematics & Computer Science)
Stanford University (MS Computer Science)",Soviet-Russian.LateColdWar,,,,Los Angeles,United States,person.public,USD-networth,"$290,000,000,000",,2,12026.05,11973,12021,CB.lion,,12026,,52,teacher,,,,,,,Alphabet,Technology,co-founded Google (Alphabet),
4,12026,Jeff Bezos,XY,"Ted Jorgensen (birth)
Miguel Bezos (adopted)",Jackie Bezos,Jeffrey Preston Jorgensen,,Lauren Sánchez (XX),Albuquerque,United States,American-English.BabyBoomer,founded Amazon; transitioned to Blue Origin and philanthropy,American-English.BabyBoomer,Princeton University (BSE Computer Science & EE),American-English.BabyBoomer,,,,Miami,United States,person.public,USD-networth,"$275,000,000,000",,4,12026.05,11964,12017,CB.lion,,12026,,62,teacher,,,,,,,Amazon,Technology,founded Amazon; Blue Origin,
5,12026,Larry Ellison,XY,Louis Ellison (adoptive),Lillian Spellman Ellison (adoptive),Lawrence Joseph Ellison,,"Adda Quinn (XX)
Barbara Boothe (XX)
Melanie Craft (XX)",New York City,United States,American-English.PostWWII,founded Oracle; built relational database empire,American-English.PostWWII,"University of Illinois Urbana-Champaign (dropout)
University of Chicago (dropout)",American-English.PostWWII,,,,Lanai,United States,person.public,USD-networth,"$217,000,000,000",,2,12026.05,11944,12021,CB.lion,,12026,,81,advisor,,,,,,,Oracle,Technology,founded Oracle; owns island of Lanai Hawaii,
6,12026,Mark Zuckerberg,XY,Edward Zuckerberg,Karen Kempner,Mark Elliot Zuckerberg,Zuck,Priscilla Chan (XX),White Plains,United States,American-English.Millennial,founded Facebook in Harvard dorm; leading Meta AI push,American-English.Millennial,"Phillips Exeter Academy
Harvard College (dropout)",American-English.Millennial,,,,Palo Alto,United States,person.public,USD-networth,"$209,000,000,000",,3,12026.05,11984,12020,CB.lion,,12026,,42,teacher,,,,,,,Meta,Technology,founded Facebook (Meta Platforms),
7,12026,Michael Dell,XY,Alexander Dell,Lorraine Dell,Michael Saul Dell,,Susan Lieberman Dell (XX),Houston,United States,American-English.BabyBoomer,founded Dell from UT Austin dorm; pioneered direct-to-consumer PC model,American-English.BabyBoomer,"Memorial High School Houston
University of Texas Austin (dropout)",American-English.BabyBoomer,,,,Austin,United States,person.public,USD-networth,"$178,000,000,000",,4,12026.05,11965,12024,CB.lion,,12026,,61,teacher,,,,,,,Dell Technologies,Technology,founded Dell Technologies; pioneered direct-to-consumer PC model,
8,12026,Jensen Huang,XY,Huang Hsing-tai,Lo Tsai-hsiu,黃仁勳,Jensen,Lori Huang (XX),Tainan,Taiwan,Taiwanese-Hokkien.PostWWII,co-founded Nvidia; architect of AI computing era,Taiwanese-Hokkien.PostWWII,"Oneida Baptist Institute (Kentucky)
Aloha High School (Oregon)
Oregon State University (BS EE)
Stanford University (MS EE)",Taiwanese-Hokkien.PostWWII,,,,Santa Clara,United States,person.public,USD-networth,"$172,000,000,000",,2,12026.05,11963,12024,CB.lion,,12026,,63,teacher,,,,,,,Nvidia,Technology,co-founded Nvidia; drove AI hardware revolution,
9,12026,Rob Walton,XY,Sam Walton,Helen Robson Walton,Samuel Robson Walton,Rob,,Newport,United States,American-English.Silent,inherited Walmart empire; board chairman 1992-2015,American-English.Silent,"University of Arizona
Columbia Law School (JD)",American-English.Silent,,,,Bentonville,United States,person.public,USD-networth,"$149,000,000,000",,2,12026.05,11944,12025,CB.lion,,12026,,81,advisor,,,,,,,Walmart,Retail,eldest Walton heir; Walmart board chairman 1992-2015,
10,12026,Jim Walton,XY,Sam Walton,Helen Robson Walton,James Carr Walton,Jim,Lynne McNabb Walton (XX),Newport,United States,American-English.BabyBoomer,inherited Walmart empire; chairs Arvest Bank,American-English.BabyBoomer,University of Arkansas (BS Marketing),American-English.BabyBoomer,,,,Bentonville,United States,person.public,USD-networth,"$147,000,000,000",,4,12026.05,11948,12025,CB.lion,,12026,,77,advisor,,,,,,,Walmart,Retail,Walton heir; chairman of Arvest Bank,
