id,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist-type,rank-metric,rank-value,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,patron-industry,claim-to-fame,data-notes
1,Frieza,ZZ,,,,,,Jump Universe,person.public,USD-networth,"$666,000,000,000,000.00",12026.05,,,CT.dragon,,,Galactic Real Estate,,
2,Aquaman,XY,,,Arthur Curry,,,DC Universe,person.public,USD-networth,"$150,000,000,000,000.00",12026.05,,,CT.dragon,,,Ocean Resources,,
3,Thor Odinson,XY,,,,,,Marvel Universe,person.public,USD-networth,"$100,000,000,000,000.00",12026.05,,,CT.dragon,,,Asgardian Hoard,,"Treasures of Asgard are assumed priceless, but to the Collector with means everything has a price."
4,Black Panther,XY,,,T'Challa,,Wakanda,Marvel Universe,person.public,USD-networth,"$90,000,000,000,000.00",12026.05,,,T.dragon,,,Vibranium Reserves,,"Vibranium value fluctuates, but assume $10K a gram at 10K tons"
5,LexCorp,XY-XX,,,,,,DC Universe,company.public,USD-networth,"$12,000,000,000,000.00",12026.05,,,T.dragon,,,Real Estate | aerospace |  engineering  | chemicals,,
6,Metori Saiko,xy,,,,,,Jump Universe,person.public,USD-networth,"$10,000,000,000,000.00",12026.05,,,B.Lion,,,Saiko Conglomerate,,
7,Wayne Enterprises,XY-XX,,,,Gotham City,,DC Universe,company.public,USD-networth,"$9,000,000,000,000.00",12026.05,,,T.dragon,,,Military | Tech,,
8,Oliver Queen,XY,,,,,,DC Universe,person.public,USD-networth,"$7,000,000,000,000.00",12026.05,,,B.Lion,,,Queen Industries (electronics | transportation),,
9,The Zoldyck Family,XY-XX,,,,,,Jump Universe,company.private,USD-networth,"$6,000,000,000,000.00",12026.05,,,B.Lion,,,High-End Assassination Services,,
10,Ra's al Ghul,XY,,,,,,DC Universe,person.private,USD-networth,"$4,000,000,000,000.00",12026.05,,,B.Lion,,,Antiquities | finance | gold,,It’s suspected that Ra’s has his money invested in the League of Assassins that is more of a cost center than profit.
11,Charles Xavier,XY,,,,,,Marvel Universe,person.public,USD-networth,"$3,500,000,000,000.00",12026.05,,,B.Lion,,,Real Estate | Finance,,
12,Stark Industries,XY-XX,,,,,,Marvel Universe,company.public,USD-networth,"$3,400,000,000,000.00",12026.05,,,T.dragon,,,Military/Tech,,
13,Capsule Corp,XY-XX,,,,,,Jump Universe,company.public,USD-networth,"$3,300,000,000,000.00",12026.05,,,T.dragon,,,Capsule Technology,,
14,Ted Kord,XY,,,,,,DC Universe,person.public,USD-networth,"$3,000,000,000,000.00",12026.05,,,B.Lion,,,Kord Industries (R&D | aerospace),,
15,Rand Enterprises,XY-XX,,,,,,Marvel Universe,company.public,USD-networth,"$3,000,000,000,000.00",12026.05,,,B.Lion,,,Global Conglomerate | Shipping,,
