rank-number,rank-year,index-name_en-US,capitalist-gender,XY-parent_en-US,XX-parent_en-Us,given-name_native-tongue,friend-name,capitalist_consort-name,firstseen-city,firstseen-country,capitalist_born-spacetime,capitalist_origin-story,mother-tongues,capitalist_schooling,written-hands,job-titles,award-names,capitalist-background,lastseen_city,lastseen-country,capitalist-type,rank-metric,rank-value,stock-shareprice,evolution-value_descendant-count,datacollected-yearmonth,firstseen-year,privedge-granted_year,priveledge-rank,privedge-lost_year,lastseen-year,deathnote,capitalist-currentage,person_age-group,archetype.childhood,archetype.student,archetype.householder,archetype.teacher,archetype.advisor,archetype.phantasim,patron-source,patron-industry,claim-to-fame,data-notes
128,12024,Novo Nordisk Foundation,Z,,,,,,Copenhagen, Denmark,,,,,,,,,Copenhagen, Denmark,company.non-profit,USD-endowment,"$120,200,000,000",,,,11989,,CB.lion,,,,37,householder,,,,,,,,,,
409,12024,Bill & Melinda Gates Foundation,XY-XX,,,,,,Seattle, United States,,,,,,,,,Seattle, United States,company.non-profit,USD-endowment,"$50,200,000,000",,,,11994,,B.lion,,,,32,householder,,,,,,,,,,
485,12024,Wellcome Trust,Z,,,,,,London, United Kingdom,,,,,,,,,London, United Kingdom,company.non-profit,USD-endowment,"$42,800,000,000",,,,11936,,B.lion,,,,90,advisor,,,,,,,,,,
574,12024,Stichting INGKA Foundation,Z,,,,,,Leiden, Netherlands,,,,,,,,,Leiden, Netherlands,company.non-profit,USD-endowment,"$37,300,000,000",,,,11982,,B.lion,,,,44,householder,,,,,,,,,,
661,12024,Mastercard Foundation,Z,,,,,,Toronto, Canada,,,,,,,,,Toronto, Canada,company.non-profit,USD-endowment,"$31,500,000,000",,,,12006,,B.lion,,,,20,student,,,,,,,,,,
777,12024,Howard Hughes Medical Institute,XY,,,,,,"Chevy Chase, Maryland", United States,,,,,,,,,"Chevy Chase, Maryland", United States,company.non-profit,USD-endowment,"$27,100,000,000",,,,11953,,B.lion,,,,73,advisor,,,,,,,,,,
868,12024,RAG-Stiftung,Z,,,,,,"Essen, Germany", Germany,,,,,,,,,"Essen, Germany", Germany,company.non-profit,USD-endowment,"$24,000,000,000",,,,12007,,B.lion,,,,19,student,,,,,,,,,,
990,12024,Azim Premji Foundation,XY,,,,,,Bangalore, India,,,,,,,,,Bangalore, India,company.non-profit,USD-endowment,"$21,000,000,000",,,,12001,,B.lion,,,,25,householder,,,,,,,,,,
1051,12024,Open Society Foundations,Z,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$19,600,000,000",,,,11993,,B.lion,,,,33,householder,,,,,,,,,,
1327,12024,Lilly Endowment,XX,,,,,,Indianapolis, United States,,,,,,,,,Indianapolis, United States,company.non-profit,USD-endowment,"$15,100,000,000",,,,11937,,B.lion,,,,89,advisor,,,,,,,,,,
1445,12024,Ford Foundation,XY,,,,,,New York City, United States,,,,,,,,,New York City, United States,company.non-profit,USD-endowment,"$13,700,000,000",,,,11936,,B.lion,,,,90,advisor,,,,,,,,,,
1452,12024,Silicon Valley Community Foundation,XY,,,,,,"San Jose, California", United States,,,,,,,,,"San Jose, California", United States,company.non-profit,USD-endowment,"$13,600,000,000",,,,12007,,B.lion,,,,19,student,,,,,,,,,,
1484,12024,Garfield Weston Foundation,XY,,,,,,London, United Kingdom,,,,,,,,,London, United Kingdom,company.non-profit,USD-endowment,"$13,200,000,000",,,,11958,,B.lion,,,,68,teacher,,,,,,,,,,
1553,12024,Church Commissioners for England,XX-XY,,,,,,London, United Kingdom,,,,,,,,,London, United Kingdom,company.non-profit,USD-endowment,"$12,400,000,000",,,,11948,,B.lion,,,,78,advisor,,,,,,,,,,
1607,12024,Stavros Niarchos Foundation,XY,,,,,,Athens, Greece,,,,,,,,,Athens, Greece,company.non-profit,USD-endowment,"$12,000,000,000",,,,11996,,B.lion,,,,30,householder,,,,,,,,,,
1655,12024,Kamehameha Schools,XY,,,,,,Honolulu, United States,,,,,,,,,Honolulu, United States,company.non-profit,USD-endowment,"$11,500,000,000",,,,11887,,B.lion,,,,139,phantasim,,,,,,,,,,
1669,12024,Robert Wood Johnson Foundation,XY,,,,,,"Princeton, New Jersey", United States,,,,,,,,,"Princeton, New Jersey", United States,company.non-profit,USD-endowment,"$11,400,000,000",,,,11972,,B.lion,,,,54,teacher,,,,,,,,,,
1789,12024,J. Paul Getty Trust,XY,,,,,,Los Angeles, United States,,,,,,,,,Los Angeles, United States,company.non-profit,USD-endowment,"$10,400,000,000",,,,11982,,B.lion,,,,44,householder,,,,,,,,,,
1843,12024,Mohammed bin Rashid Al Maktoum Foundation,XY,,,,,,Dubai, United Arab Emirates,,,,,,,,,Dubai, United Arab Emirates,company.non-profit,USD-endowment,"$10,100,000,000",,,,12007,,B.lion,,,,19,student,,,,,,,,,,
1921,12024,Fondazione Cariplo,XY,,,,,,Milano, Italy,,,,,,,,,Milano, Italy,company.non-profit,USD-endowment,"$9,600,000,000",,,,11991,,B.lion,,,,35,householder,,,,,,,,,,
1935,12024,Gordon and Betty Moore Foundation,XY-XX,,,,,,"Palo Alto, California", United States,,,,,,,,,"Palo Alto, California", United States,company.non-profit,USD-endowment,"$9,500,000,000",,,,12000,,B.lion,,,,26,householder,,,,,,,,,,
